title,author,publisher,year,pages,tags,description
EBS 다큐프라임 자본주의,EBS 자본주의 제작팀,가나출판사,2013,388,"인문사회, 300쪽 이상, 교양","쉬지 않고 일하는데 나는 왜 이렇게 살기 힘든가?' 라는 질문을 던지고 그 답이 자본주의라는 구조 속에 있다는 것을 세계 석학들과의 인터뷰를 통해 밝히고 있다. 그냥 좌절하기보다는 원인을 파악해서 자본주의에 대처하는 힘과 용기, 능력을 기르자는 게 이 책의 취지이다. 자본주의 제도 아래 대부분 성실한 노동자로 살아갈 아이들이 알아야 할 자본주의의 비밀이 자세히 설명되어 있다."
EBS 당신의 문해력,김윤정,EBS BOOKS,2021,296,"인문사회, 200~300쪽, 교양","2021년 EBS 6부작 프로그램 <당신의 문해력>의 내용을 글로 옮겨 펴낸 책이다. 영유아기, 학령기, 청소년기를 나누고 시기별 문해력의 중요성을 설명한다. 시기별 문해력을 높이는 실질적인 해법을 사례로 제시하고 있다."
Lo-fi,강성은,문학과지성사,2018,96,"문학, 200쪽 이하, 시",꿈의 세계 같기도 하고 죽음의 세계 같기도 한 몽환적인 시공간에서 펼쳐지는 시가 많다. 고스트라는 동명의 시가 여러 편 실린 점도 흥미롭다.
N분의 1을 위하여,김지숙 외,창비교육,2022,224,"문학, 200~300쪽, 소설",고졸 취업 문제를 테마로 한 단편소설집. 특성화고 실습생이나 고졸 취업생들이 어른들의 부주의와 이기적인 욕심으로 안타깝게 희생당하는 일이 아직도 계속 일어나고 있다. 이제는 모른 척 할 수 없는 우리가 해결해야할 문제라는 걸 가슴 아프게 깨닫게 된다.
가난의 문법,소준철,푸른숲,2020,304,"인문사회, 300쪽 이상, 교양","폐지 줍는 노인들에 대한 보고서다. 도시에서 가난한 노인들이 어떻게 사는지 알게 된다. 문제만 드러내지 않고, 가난한 노인들을 도우려는 사회의 여러 시도를 정리해두어서 좋다. 이 책을 다 읽으려면 끈기가 약간 필요하다."
가난한 아이들은 어떻게 어른이 되는가,강지나,돌베개,2023,279,"인문사회, 200~300쪽, 교양",한 아이를 키우는 데 온 마을이 함께하지 못하고 있는 것처럼 보이는 현대 사회에서 아이들이 어떻게 어른이 되는지를 보여준다. 고등학생 정도라면 이러한 사회 구조에 문제 의식을 가지고 연대의 필요성을 인식할 것이다.
가능주의자,나희덕,문학동네,2021,172,"문학, 200쪽 이하, 시",세상의 낮은 부분에 대해 꾸준히 들여다보는 시인 나희덕의 시집. 최근의 사건들에 대한 시인의 단상들도 엿보며 스스로 돌아보게 된다.
가르칠 수 있는 용기,파커 J. 파머,한문화,2013,376,"인문사회, 300쪽 이상, 에세이",마음이 지친 많은 교사들에게 위로를 준 교육에세이.
가리는 손 (바깥은 여름),김애란,문학동네,2017,,"문학, 200~300쪽, 소설","노인을 폭행한 청소년들 주변에서 손을 가리고 웃던 아들의 모습을 CCTV에서 본 어머니가 서술자이다. 맛있는 집밥을 만드는 장면과 혼혈아인 아들과 살아가는 이야기가 절묘하게 교차한다. 시의성 있는 사건과 그 이후에, 그리고 그 주변에서 어떤 일들이 벌어지는지 생생하게 그려낸다."
가만한 나날 (가만한 나날),김세희,문학동네,2019,,"문학, 200~300쪽, 소설",자신도 모르는 사이에 죽음을 부르는 상품을 블로그로 소개하였던 내가 겪는 혼란스러움을 이야기한다.
가만한 당신,최윤필,마음산책,2016,360,"인문사회, 300쪽 이상, 에세이",콩고의 마마 - 레베카 마시카 카추바' 전쟁의 무참함 속에서 인간의 존엄성을 지키고자 하는 이야기.
가만히 좋아하는,김사인,창비,2006,154,"문학, 200쪽 이하, 시",작은 생명 하나도 애정어린 시선으로 바라보는 시인의 마음이 잘 표현된 시집
가슴 뛰는 소설,최진영 외,창비교육,2020,328,"문학, 300쪽 이상, 소설",다양한 사랑의 모양을 아름답게 그려낸 단편 소설을 엮은 책. 달콤한 로맨스를 기대하고 책을 펼친 학생들에게 큰 충격과 고민을 안겨주는 단편 소설집. 우리가 가진 사랑의 모양이 얼마나 단편적이고 고정적인지 의심하게 만드는 대화를 자연스럽게 주고 받을 수 있다.
가장 나다운 거짓말,배수연,창비교육,2019,124,"문학, 200쪽 이하, 시",어딘가 이상하고 서툰 청소년기의 마음을 솔직하게 그렸다. 나만 이상한가? 생각했던 마음을 시에 기대며 공감하게 된다.
